iter	RMSE
0	0.6336386338
1	0.6219743617
2	0.6114382181
3	0.6018574182
4	0.5912389953
5	0.5821361702
6	0.5738830583
7	0.5648172418
8	0.5565723495
9	0.5480430132
10	0.5405159412
11	0.5321328029
12	0.524118228
13	0.5179113835
14	0.5105423729
15	0.5044786928
16	0.4985462118
17	0.4918167761
18	0.4861072446
19	0.4808671735
20	0.4757540612
21	0.4710765923
22	0.4651152627
23	0.4607223339
24	0.4552090015
25	0.4496516916
26	0.4447693767
27	0.4409730227
28	0.4375466747
29	0.4328825215
30	0.4283602022
31	0.4241441931
32	0.4200843562
33	0.4165744749
34	0.4135073727
35	0.4108936489
36	0.4074298115
37	0.4047109465
38	0.4013872904
39	0.398827493
40	0.3965592411
41	0.3941948884
42	0.3915703526
43	0.3887483067
44	0.3869421522
45	0.3851708381
46	0.3835970066
47	0.3812989692
48	0.3787387659
49	0.3765149441
50	0.375222149
51	0.3726534915
52	0.3705736911
53	0.3686458266
54	0.3669499129
55	0.3653712154
56	0.3636332981
57	0.3622050517
58	0.360695268
59	0.3596568397
60	0.3581505354
61	0.3566539051
62	0.355492554
63	0.3538668193
64	0.3524329319
65	0.3509777671
66	0.350143964
67	0.3489138155
68	0.3477420742
69	0.3468711705
70	0.3456920158
71	0.3448898102
72	0.3439341456
73	0.3430194515
74	0.3419813703
75	0.3413337814
76	0.340364538
77	0.3398805312
78	0.3387614574
79	0.337841745
80	0.336919255
81	0.3359899079
82	0.3352629864
83	0.3343964824
84	0.3336011541
85	0.3331273664
86	0.3325456324
87	0.3316368946
88	0.3311039985
89	0.3303765449
90	0.3298581583
91	0.3292667625
92	0.328596653
93	0.3281294425
94	0.3271464388
95	0.3263846198
96	0.3259108504
97	0.3254290414
98	0.3247498107
99	0.3239896518
100	0.3234494903
101	0.323139812
102	0.3224341395
103	0.3217735123
104	0.3212759279
105	0.3206568721
106	0.3201746206
107	0.3197225588
108	0.3190878482
109	0.3186576681
110	0.3180926251
111	0.3177674445
112	0.3174496611
113	0.3169013275
114	0.3163245202
115	0.3159643988
116	0.315555925
117	0.3152710853
118	0.3150025058
119	0.3145162569
120	0.3141935736
121	0.3138963704
122	0.3134278985
123	0.3130466718
124	0.312567192
125	0.3122518166
126	0.3118175485
127	0.3116034442
128	0.3111587629
129	0.3105992282
130	0.3102651257
131	0.3098292437
132	0.3094058161
133	0.3091425861
134	0.3089326986
135	0.3086134892
136	0.3083265398
137	0.3081441145
138	0.3075705036
139	0.3072928548
140	0.3069736182
141	0.306776393
142	0.3065977288
143	0.3063130485
144	0.3060835648
145	0.3058571784
146	0.3056122795
147	0.3053700443
148	0.3051155542
149	0.3049189752
150	0.3045254233
151	0.3043496815
152	0.3040464185
153	0.303735161
154	0.3035176011
155	0.3031828266
156	0.3027108985
157	0.3024245346
158	0.3021741269
159	0.3020044716
160	0.3018883972
161	0.3016888492
162	0.3013835044
163	0.3012025355
164	0.3010044656
165	0.3008147164
166	0.3005476523
167	0.3003590951
168	0.3002280051
169	0.3000411725
170	0.2996911132
171	0.2994696292
172	0.2992572189
173	0.2990189759
174	0.2988291528
175	0.2986868291
176	0.298356716
177	0.2982004208
178	0.2980624775
179	0.2976756475
180	0.297526176
181	0.2973687209
182	0.2972594108
183	0.297085463
184	0.2969761274
185	0.2968892765
186	0.2967734382
187	0.2964325647
188	0.2962874929
189	0.2961231821
190	0.2959141407
191	0.295657133
192	0.2955589574
193	0.2954836568
194	0.2953529665
195	0.2951879646
196	0.2949046727
197	0.2947766366
198	0.2945764713
199	0.2944160808
200	0.2943162388
201	0.2941596282
202	0.2939958727
203	0.2938627794
204	0.2934856114
205	0.2931889431
206	0.2929973382
207	0.2928651555
208	0.2926154648
209	0.2924771835
210	0.2924159258
211	0.2922977784
212	0.2920971293
213	0.2919348047
214	0.2918940702
215	0.2917664697
216	0.2915721182
217	0.2913981389
218	0.2910041326
219	0.2909105011
220	0.2907818015
221	0.290693501
222	0.2905371208
223	0.2902945815
224	0.2901219605
225	0.289943005
226	0.2898209847
227	0.2897041849
228	0.2894665493
229	0.2893846233
230	0.2892809661
231	0.289112272
232	0.2890196979
233	0.2888090464
234	0.2886303249
235	0.2885461842
236	0.2884160308
237	0.2883303097
238	0.2882279748
239	0.2881461538
240	0.2880126973
241	0.2879141792
242	0.2877965019
243	0.2876841101
244	0.2875235504
245	0.2874209208
246	0.2872900898
247	0.2871997826
248	0.2870630152
249	0.2869077312
250	0.2867669195
251	0.2866387188
252	0.2864868912
253	0.2863196555
254	0.2862114549
255	0.2859876185
256	0.2858141844
257	0.2856933893
258	0.2854831809
259	0.2852596586
260	0.2849879384
261	0.284852026
262	0.2845511148
263	0.2843959339
264	0.2843187846
265	0.2842381608
266	0.2841255918
267	0.2840099236
268	0.2837767319
269	0.2836022003
270	0.2834144708
271	0.2831619863
272	0.2828974893
273	0.2827811502
274	0.2826357969
275	0.2825019706
276	0.2822779392
277	0.2821627876
278	0.2820059579
279	0.2819379059
280	0.2817729949
281	0.281511281
282	0.2813895207
283	0.2813006554
284	0.2811667319
285	0.2810729513
286	0.2808450828
287	0.2807540907
288	0.2806364581
289	0.2805648886
290	0.2804600623
291	0.2803877659
292	0.2802998233
293	0.2801995194
294	0.2800927971
295	0.279982324
296	0.2798554948
297	0.2797516937
298	0.2796418097
299	0.2795052066
300	0.279429089
301	0.2791682331
302	0.2790908381
303	0.2790057484
304	0.2789143322
305	0.2788098036
306	0.2786525742
307	0.2785363083
308	0.2784507523
309	0.2782412515
310	0.2780940473
311	0.2780040916
312	0.2778366834
313	0.2777199804
314	0.2774725456
315	0.2774154744
316	0.2772611234
317	0.2770649292
318	0.2769360772
319	0.2768542275
320	0.2767793789
321	0.27670202
322	0.2765629612
323	0.2764628257
324	0.2763128116
325	0.276109757
326	0.2759974171
327	0.2758037722
328	0.2756421334
329	0.2754912566
330	0.2754014868
331	0.2753030266
332	0.2751703524
333	0.2750891812
334	0.2748793176
335	0.2747929981
336	0.2747107027
337	0.2745181074
338	0.2744454166
339	0.2743425662
340	0.2742461403
341	0.2741475227
342	0.2740359513
343	0.2738419263
344	0.2736330089
345	0.27357978
346	0.2734841357
347	0.2733808942
348	0.273268265
349	0.2731884816
350	0.2731079202
351	0.2729299406
352	0.2728159461
353	0.2727223943
354	0.2725689776
355	0.2724647434
356	0.27236049
357	0.272171972
358	0.2720638485
359	0.2719598807
360	0.2718060223
361	0.2717190985
362	0.2716228765
363	0.2715636646
364	0.2715123791
365	0.2713267708
366	0.2712393057
367	0.2711789422
368	0.2710866586
369	0.2710217097
370	0.2709491016
371	0.2708691236
372	0.2708048458
373	0.2706618918
374	0.2705950889
375	0.2704997212
376	0.2704054549
377	0.2703477756
378	0.27015479
379	0.2700683368
380	0.2699220048
381	0.2698299939
382	0.2697156132
383	0.2696398089
384	0.2695494198
385	0.2693859118
386	0.2692638849
387	0.2691255629
388	0.2690711613
389	0.2690140936
390	0.2689099842
391	0.2688152303
392	0.2687576259
393	0.2687036642
394	0.2686156118
395	0.268554575
396	0.2684884808
397	0.2683927107
398	0.2683271355
399	0.2682407211
400	0.2681545895
401	0.2680940172
402	0.2679817568
403	0.2678241055
404	0.267744039
405	0.2676680479
406	0.2675046638
407	0.2674298459
408	0.2673345638
409	0.2672666675
410	0.2672095579
411	0.2671416883
412	0.2670168294
413	0.2669081231
414	0.2668111984
415	0.2667022737
416	0.2665595293
417	0.2665090084
418	0.2664490278
419	0.2663438316
420	0.2662760693
421	0.2661573718
422	0.2660805055
423	0.265956335
424	0.2658974053
425	0.2657631985
426	0.2656862466
427	0.2656287445
428	0.2655528335
429	0.2654225363
430	0.2653412286
431	0.2652131845
432	0.2651284585
433	0.2650142611
434	0.2649261711
435	0.26487326
436	0.2647736013
437	0.2646812092
438	0.2645530028
439	0.2645049734
440	0.2643649381
441	0.2642211171
442	0.2641611874
443	0.2641119794
444	0.264021829
445	0.263895228
446	0.2637734053
447	0.2636497949
448	0.2635436948
449	0.2634411037
450	0.2633758973
451	0.263335556
452	0.2632543471
453	0.2631983816
454	0.2631310789
455	0.2630550219
456	0.2629965076
457	0.2629438027
458	0.262823649
459	0.2627617051
460	0.2626865642
461	0.2625952723
462	0.2625273221
463	0.2624709386
464	0.2623868559
465	0.2623413919
466	0.2622878413
467	0.2622290347
468	0.2621408004
469	0.2620382391
470	0.2619501437
471	0.2618425362
472	0.2617460304
473	0.261695274
474	0.2616013519
475	0.2614732977
476	0.2614102988
477	0.2613680426
478	0.2613118285
479	0.2612056303
480	0.2611058805
481	0.2610442781
482	0.2609804922
483	0.2608670828
484	0.2607933406
485	0.2607456753
486	0.2606810431
487	0.2606141821
488	0.2605708052
489	0.260523489
490	0.2604688847
491	0.2604077608
492	0.260292475
493	0.2601863632
494	0.2601214788
495	0.2600646557
496	0.2599111439
497	0.2598241343
498	0.2597668642
499	0.2597042725
500	0.2596479017
501	0.2596005173
502	0.2595505153
503	0.2595033658
504	0.2594237038
505	0.2593478219
506	0.2592761368
507	0.2592359074
508	0.2591735088
509	0.2591309668
510	0.2590361056
511	0.2589836277
512	0.2589419254
513	0.2589066516
514	0.258798206
515	0.2587520254
516	0.2586800132
517	0.2586384473
518	0.2585506237
519	0.2584928497
520	0.2584468714
521	0.2583759102
522	0.2583162449
523	0.2582018741
524	0.2581381102
525	0.2580647255
526	0.2579812788
527	0.2579154081
528	0.2578638286
529	0.2578002871
530	0.2577107643
531	0.2576583264
532	0.2575538246
533	0.2575083789
534	0.2574273587
535	0.257365366
536	0.2572768829
537	0.2572327672
538	0.2571467283
539	0.2570914254
540	0.2570488239
541	0.2569440856
542	0.2568995391
543	0.2567955428
544	0.2567462022
545	0.2566887371
546	0.256627148
547	0.2565808791
548	0.256556647
549	0.2564897803
550	0.2564306146
551	0.2563807209
552	0.2563096439
553	0.2562456549
554	0.2561721695
555	0.2561195889
556	0.2560259759
557	0.2559783647
558	0.2559089732
559	0.2558098333
560	0.2557734495
561	0.2557453485
562	0.2556905374
563	0.2556459227
564	0.2555860751
565	0.2555371608
566	0.2554521594
567	0.2553504362
568	0.2552507218
569	0.2551556336
570	0.2551199002
571	0.2550761415
572	0.2550420303
573	0.2549712584
574	0.2549351834
575	0.2548855835
576	0.2548388068
577	0.2548011803
578	0.254749629
579	0.2547105927
580	0.2546184312
581	0.2545491781
582	0.2545185019
583	0.2544783839
584	0.2544397935
585	0.2543990423
586	0.2543391274
587	0.254273242
588	0.2542091007
589	0.2541147886
590	0.2540650557
591	0.2539988002
592	0.2539704833
593	0.2538873779
594	0.2538208207
595	0.2537546815
596	0.2536810902
597	0.2535775805
598	0.2535316322
599	0.2534869204
600	0.2533963742
601	0.2533459531
602	0.2532956146
603	0.2532491495
604	0.2532100008
605	0.253184359
606	0.2531287232
607	0.2530333265
608	0.2529741292
609	0.2529408339
610	0.2529135435
611	0.2528804273
612	0.2528138392
613	0.2527500817
614	0.2526996167
615	0.2526135747
616	0.2525807515
617	0.2525323908
618	0.2524365854
619	0.2524069704
620	0.2523570571
621	0.2523201468
622	0.2522647292
623	0.252205167
624	0.2521422834
625	0.2520987533
626	0.2520668682
627	0.2520170693
628	0.2519246214
629	0.2518783807
630	0.2518369063
631	0.2517589667
632	0.2517114115
633	0.2516789168
634	0.2516420666
635	0.2515490692
636	0.2515022474
637	0.251450112
638	0.2513349567
639	0.2512593206
640	0.2512132448
641	0.2511542044
642	0.2511290567
643	0.2511028716
644	0.2510517779
645	0.2509647965
646	0.2508865324
647	0.2507948997
648	0.250751473
649	0.2507238377
650	0.2506950659
651	0.250580487
652	0.2505478138
653	0.2504699158
654	0.2504108439
655	0.2503831578
656	0.2502664992
657	0.2501619799
658	0.2501065959
659	0.2500592823
660	0.2499880824
661	0.2499540705
662	0.2498811154
663	0.2498388751
664	0.2497471557
665	0.2497197411
666	0.2496913886
667	0.249625531
668	0.2495620209
669	0.2494784314
670	0.2493962803
671	0.2493882995
672	0.2493591753
673	0.2492855153
674	0.2492329983
675	0.2491646152
676	0.2491085995
677	0.249082376
