name,type,lat,lon,address
Lê Văn Việt General Hospital,Bệnh viện,10.8449288,106.7900007,"387 Đ. Lê Văn Việt, Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh 715143, Vietnam"
Eastern People Militia Hospital,Bệnh viện,10.8459577,106.7784882,"50 Đ. Lê Văn Việt, Hiệp Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Medical Center 9 District,Bệnh viện,10.8450095,106.79379739999999,"Quarter 2, Le Van Viet street, Tang Nhon Phu A Ward, District 9, Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Thu Duc City Hospital,Bệnh viện,10.864435499999999,106.7456897,"29 Phú Châu, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh 70000, Vietnam"
Thu Duc City Medical Center,Bệnh viện,10.8333142,106.7797155,"48A Tăng Nhơn Phú, Tăng Nhơn Phú B, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Phòng khám đa khoa Quận 9,Bệnh viện,10.8167762,106.7700409,"68 Đường số 6, Phước Bình, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Thu Duc General Hospital,Bệnh viện,10.8614915,106.7804391,"64 Lê Văn Chí, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Bệnh Viện Quận 9 - Đối Diện Bệnh Viện Quận 9 - Lê Văn Việt,Bệnh viện,10.8444136,106.79088039999999,"Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Bệnh viện đa khoa Quốc Tế Hoàn Mỹ Thủ Đức,Bệnh viện,10.887415599999999,106.77453779999999,"241 Hoàng Cầm, Linh Xuân, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Trung Tâm Y Khoa Diag - Đỗ Xuân Hợp,Bệnh viện,10.818132499999999,106.7731391,"1B Đ. Đỗ Xuân Hợp, Phước Bình, Quận 9, Thành phố Hồ Chí Minh 71209, Vietnam"
Trung Tâm Y Khoa Diag - Lê Văn Việt,Bệnh viện,10.8474556,106.77653269999999,"75 Đ. Lê Văn Việt, Hiệp Phú, Thủ Đức, Thành phố Hồ Chí Minh 71206, Vietnam"
30-4 Hospital,Bệnh viện,10.7591033,106.6730315,"9 Sư Vạn Hạnh, Phường 9, Quận 5, Thành phố Hồ Chí Minh 72712, Vietnam"
Le Van Thinh Hospital,Bệnh viện,10.7825712,106.76910439999999,"130 Lê Văn Thịnh, Phường Bình Trưng Tây, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Hùng Vương Hospital,Bệnh viện,10.7565723,106.66182739999999,"9 Đ. Lý Thường Kiệt, Phường 12, Quận 5, Thành phố Hồ Chí Minh, Vietnam"
Phòng Khám Đa Khoa NHÂN VIỆT,Bệnh viện,10.844368399999999,106.7817535,"189 Đ. Lê Văn Việt, Hiệp Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
American International Hospital (AIH),Bệnh viện,10.793733699999999,106.7464567,"199 Nguyễn Hoàng, Phường Bình Trưng Tây, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Hoc Mon Area General Hospital,Bệnh viện,10.8825665,106.593391,"65/2B Bà Triệu, TT. Hóc Môn, Hóc Môn, Thành phố Hồ Chí Minh, Vietnam"
HCMC Oncology Hospital - Branch No. 2,Bệnh viện,10.8703629,106.8093938,"12 Đ. Số 400, Khu phố 3, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Trung Tâm Y Tế Dự Phòng Quận 9,Bệnh viện,10.8296815,106.7763865,"4 Đường Số 22, Khu Phố 4, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Trung Tâm Chăm Sóc Mẹ & Bé Vinhomes Grand Park Q9,Bệnh viện,10.8377208,106.8442142,"29 Đ. V3, khu Manhattan Vinhomes Grand Park, Thủ Đức, Thành phố Hồ Chí Minh 200000, Vietnam"
Nguyen Tat Thanh University - Campus District 9,Trường đại học,10.837874399999999,106.80964279999999,"Đ. Võ Chí Công, Long Thạnh Mỹ, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
University of Science - VNUHCM,Trường đại học,10.762835599999999,106.6824824,"227 Nguyễn Văn Cừ, Phường 4, Quận 5, Thành phố Hồ Chí Minh 700000, Vietnam"
